gongli,xingqi,year,month,day,nianzhu,shuxiang,yuezhu,rizhu,nianming
1970/3/25,星期三,1970,二月,十八,庚戌,狗,己卯,甲辰,钗钏金
1970/3/26,星期四,1970,二月,十九,庚戌,狗,己卯,乙巳,钗钏金
1970/3/27,星期五,1970,二月,二十,庚戌,狗,己卯,丙午,钗钏金
1970/3/28,星期六,1970,二月,廿一,庚戌,狗,己卯,丁未,钗钏金
1970/3/29,星期日,1970,二月,廿二,庚戌,狗,己卯,戊申,钗钏金
1970/3/30,星期一,1970,二月,廿三,庚戌,狗,己卯,己酉,钗钏金
1970/3/31,星期二,1970,二月,廿四,庚戌,狗,己卯,庚戌,钗钏金
1970/4/1,星期三,1970,二月,廿五,庚戌,狗,己卯,辛亥,钗钏金
1970/4/2,星期四,1970,二月,廿六,庚戌,狗,己卯,壬子,钗钏金
1970/4/3,星期五,1970,二月,廿七,庚戌,狗,己卯,癸丑,钗钏金
1970/4/4,星期六,1970,二月,廿八,庚戌,狗,己卯,甲寅,钗钏金
1970/4/5,星期日,1970,二月,廿九,庚戌,狗,庚辰,乙卯,钗钏金
1970/4/6,星期一,1970,三月,初一,庚戌,狗,庚辰,丙辰,钗钏金
1970/4/7,星期二,1970,三月,初二,庚戌,狗,庚辰,丁巳,钗钏金
1970/4/8,星期三,1970,三月,初三,庚戌,狗,庚辰,戊午,钗钏金
1970/4/9,星期四,1970,三月,初四,庚戌,狗,庚辰,己未,钗钏金
1970/4/10,星期五,1970,三月,初五,庚戌,狗,庚辰,庚申,钗钏金
1970/4/11,星期六,1970,三月,初六,庚戌,狗,庚辰,辛酉,钗钏金
1970/4/12,星期日,1970,三月,初七,庚戌,狗,庚辰,壬戌,钗钏金
1970/4/13,星期一,1970,三月,初八,庚戌,狗,庚辰,癸亥,钗钏金
1970/4/14,星期二,1970,三月,初九,庚戌,狗,庚辰,甲子,钗钏金
1970/4/15,星期三,1970,三月,初十 ,庚戌,狗,庚辰,乙丑,钗钏金
1970/4/16,星期四,1970,三月,十一,庚戌,狗,庚辰,丙寅,钗钏金
1970/4/17,星期五,1970,三月,十二,庚戌,狗,庚辰,丁卯,钗钏金
1970/4/18,星期六,1970,三月,十三,庚戌,狗,庚辰,戊辰,钗钏金
1970/4/19,星期日,1970,三月,十四,庚戌,狗,庚辰,己巳,钗钏金
1970/4/20,星期一,1970,三月,十五,庚戌,狗,庚辰,庚午,钗钏金
1970/4/21,星期二,1970,三月,十六,庚戌,狗,庚辰,辛未,钗钏金
1970/4/22,星期三,1970,三月,十七,庚戌,狗,庚辰,壬申,钗钏金
1970/4/23,星期四,1970,三月,十八,庚戌,狗,庚辰,癸酉,钗钏金
1970/4/24,星期五,1970,三月,十九,庚戌,狗,庚辰,甲戌,钗钏金
1970/4/25,星期六,1970,三月,二十,庚戌,狗,庚辰,乙亥,钗钏金
1970/4/26,星期日,1970,三月,廿一,庚戌,狗,庚辰,丙子,钗钏金
1970/4/27,星期一,1970,三月,廿二,庚戌,狗,庚辰,丁丑,钗钏金
1970/4/28,星期二,1970,三月,廿三,庚戌,狗,庚辰,戊寅,钗钏金
1970/4/29,星期三,1970,三月,廿四,庚戌,狗,庚辰,己卯,钗钏金
1970/4/30,星期四,1970,三月,廿五,庚戌,狗,庚辰,庚辰,钗钏金
1970/5/1,星期五,1970,三月,廿六,庚戌,狗,庚辰,辛巳,钗钏金
1970/5/2,星期六,1970,三月,廿七,庚戌,狗,庚辰,壬午,钗钏金
1970/5/3,星期日,1970,三月,廿八,庚戌,狗,庚辰,癸未,钗钏金
1970/5/4,星期一,1970,三月,廿九,庚戌,狗,庚辰,甲申,钗钏金
1970/5/5,星期二,1970,四月,初一,庚戌,狗,庚辰,乙酉,钗钏金
1970/5/6,星期三,1970,四月,初二,庚戌,狗,辛巳,丙戌,钗钏金
1970/5/7,星期四,1970,四月,初三,庚戌,狗,辛巳,丁亥,钗钏金
1970/5/8,星期五,1970,四月,初四,庚戌,狗,辛巳,戊子,钗钏金
1970/5/9,星期六,1970,四月,初五,庚戌,狗,辛巳,己丑,钗钏金
1970/5/10,星期日,1970,四月,初六,庚戌,狗,辛巳,庚寅,钗钏金
1970/5/11,星期一,1970,四月,初七,庚戌,狗,辛巳,辛卯,钗钏金
1970/5/12,星期二,1970,四月,初八,庚戌,狗,辛巳,壬辰,钗钏金
1970/5/13,星期三,1970,四月,初九,庚戌,狗,辛巳,癸巳,钗钏金
1970/5/14,星期四,1970,四月,初十 ,庚戌,狗,辛巳,甲午,钗钏金
1970/5/15,星期五,1970,四月,十一,庚戌,狗,辛巳,乙未,钗钏金
1970/5/16,星期六,1970,四月,十二,庚戌,狗,辛巳,丙申,钗钏金
1970/5/17,星期日,1970,四月,十三,庚戌,狗,辛巳,丁酉,钗钏金
1970/5/18,星期一,1970,四月,十四,庚戌,狗,辛巳,戊戌,钗钏金
1970/5/19,星期二,1970,四月,十五,庚戌,狗,辛巳,己亥,钗钏金
1970/5/20,星期三,1970,四月,十六,庚戌,狗,辛巳,庚子,钗钏金
1970/5/21,星期四,1970,四月,十七,庚戌,狗,辛巳,辛丑,钗钏金
1970/5/22,星期五,1970,四月,十八,庚戌,狗,辛巳,壬寅,钗钏金
1970/5/23,星期六,1970,四月,十九,庚戌,狗,辛巳,癸卯,钗钏金
1970/5/24,星期日,1970,四月,二十,庚戌,狗,辛巳,甲辰,钗钏金
1970/5/25,星期一,1970,四月,廿一,庚戌,狗,辛巳,乙巳,钗钏金
1970/5/26,星期二,1970,四月,廿二,庚戌,狗,辛巳,丙午,钗钏金
1970/5/27,星期三,1970,四月,廿三,庚戌,狗,辛巳,丁未,钗钏金
1970/5/28,星期四,1970,四月,廿四,庚戌,狗,辛巳,戊申,钗钏金
1970/5/29,星期五,1970,四月,廿五,庚戌,狗,辛巳,己酉,钗钏金
1970/5/30,星期六,1970,四月,廿六,庚戌,狗,辛巳,庚戌,钗钏金
1970/5/31,星期日,1970,四月,廿七,庚戌,狗,辛巳,辛亥,钗钏金
1970/6/1,星期一,1970,四月,廿八,庚戌,狗,辛巳,壬子,钗钏金
1970/6/2,星期二,1970,四月,廿九,庚戌,狗,辛巳,癸丑,钗钏金
1970/6/3,星期三,1970,四月,三十,庚戌,狗,辛巳,甲寅,钗钏金
1970/6/4,星期四,1970,五月,初一,庚戌,狗,辛巳,乙卯,钗钏金
1970/6/5,星期五,1970,五月,初二,庚戌,狗,辛巳,丙辰,钗钏金
1970/6/6,星期六,1970,五月,初三,庚戌,狗,壬午,丁巳,钗钏金
1970/6/7,星期日,1970,五月,初四,庚戌,狗,壬午,戊午,钗钏金
1970/6/8,星期一,1970,五月,初五,庚戌,狗,壬午,己未,钗钏金
1970/6/9,星期二,1970,五月,初六,庚戌,狗,壬午,庚申,钗钏金
1970/6/10,星期三,1970,五月,初七,庚戌,狗,壬午,辛酉,钗钏金
1970/6/11,星期四,1970,五月,初八,庚戌,狗,壬午,壬戌,钗钏金
1970/6/12,星期五,1970,五月,初九,庚戌,狗,壬午,癸亥,钗钏金
1970/6/13,星期六,1970,五月,初十 ,庚戌,狗,壬午,甲子,钗钏金
1970/6/14,星期日,1970,五月,十一,庚戌,狗,壬午,乙丑,钗钏金
1970/6/15,星期一,1970,五月,十二,庚戌,狗,壬午,丙寅,钗钏金
1970/6/16,星期二,1970,五月,十三,庚戌,狗,壬午,丁卯,钗钏金
1970/6/17,星期三,1970,五月,十四,庚戌,狗,壬午,戊辰,钗钏金
1970/6/18,星期四,1970,五月,十五,庚戌,狗,壬午,己巳,钗钏金
1970/6/19,星期五,1970,五月,十六,庚戌,狗,壬午,庚午,钗钏金
1970/6/20,星期六,1970,五月,十七,庚戌,狗,壬午,辛未,钗钏金
1970/6/21,星期日,1970,五月,十八,庚戌,狗,壬午,壬申,钗钏金
1970/6/22,星期一,1970,五月,十九,庚戌,狗,壬午,癸酉,钗钏金
1970/6/23,星期二,1970,五月,二十,庚戌,狗,壬午,甲戌,钗钏金
1970/6/24,星期三,1970,五月,廿一,庚戌,狗,壬午,乙亥,钗钏金
1970/6/25,星期四,1970,五月,廿二,庚戌,狗,壬午,丙子,钗钏金
1970/6/26,星期五,1970,五月,廿三,庚戌,狗,壬午,丁丑,钗钏金
1970/6/27,星期六,1970,五月,廿四,庚戌,狗,壬午,戊寅,钗钏金
1970/6/28,星期日,1970,五月,廿五,庚戌,狗,壬午,己卯,钗钏金
1970/6/29,星期一,1970,五月,廿六,庚戌,狗,壬午,庚辰,钗钏金
1970/6/30,星期二,1970,五月,廿七,庚戌,狗,壬午,辛巳,钗钏金
1970/7/1,星期三,1970,五月,廿八,庚戌,狗,壬午,壬午,钗钏金
1970/7/2,星期四,1970,五月,廿九,庚戌,狗,壬午,癸未,钗钏金
1970/7/3,星期五,1970,六月,初一,庚戌,狗,壬午,甲申,钗钏金
1970/7/4,星期六,1970,六月,初二,庚戌,狗,壬午,乙酉,钗钏金
1970/7/5,星期日,1970,六月,初三,庚戌,狗,壬午,丙戌,钗钏金
1970/7/6,星期一,1970,六月,初四,庚戌,狗,壬午,丁亥,钗钏金
1970/7/7,星期二,1970,六月,初五,庚戌,狗,癸未,戊子,钗钏金
1970/7/8,星期三,1970,六月,初六,庚戌,狗,癸未,己丑,钗钏金
1970/7/9,星期四,1970,六月,初七,庚戌,狗,癸未,庚寅,钗钏金
1970/7/10,星期五,1970,六月,初八,庚戌,狗,癸未,辛卯,钗钏金
1970/7/11,星期六,1970,六月,初九,庚戌,狗,癸未,壬辰,钗钏金
1970/7/12,星期日,1970,六月,初十 ,庚戌,狗,癸未,癸巳,钗钏金
1970/7/13,星期一,1970,六月,十一,庚戌,狗,癸未,甲午,钗钏金
1970/7/14,星期二,1970,六月,十二,庚戌,狗,癸未,乙未,钗钏金
1970/7/15,星期三,1970,六月,十三,庚戌,狗,癸未,丙申,钗钏金
1970/7/16,星期四,1970,六月,十四,庚戌,狗,癸未,丁酉,钗钏金
1970/7/17,星期五,1970,六月,十五,庚戌,狗,癸未,戊戌,钗钏金
1970/7/18,星期六,1970,六月,十六,庚戌,狗,癸未,己亥,钗钏金
1970/7/19,星期日,1970,六月,十七,庚戌,狗,癸未,庚子,钗钏金
1970/7/20,星期一,1970,六月,十八,庚戌,狗,癸未,辛丑,钗钏金
1970/7/21,星期二,1970,六月,十九,庚戌,狗,癸未,壬寅,钗钏金
1970/7/22,星期三,1970,六月,二十,庚戌,狗,癸未,癸卯,钗钏金
1970/7/23,星期四,1970,六月,廿一,庚戌,狗,癸未,甲辰,钗钏金
1970/7/24,星期五,1970,六月,廿二,庚戌,狗,癸未,乙巳,钗钏金
1970/7/25,星期六,1970,六月,廿三,庚戌,狗,癸未,丙午,钗钏金
1970/7/26,星期日,1970,六月,廿四,庚戌,狗,癸未,丁未,钗钏金
1970/7/27,星期一,1970,六月,廿五,庚戌,狗,癸未,戊申,钗钏金
1970/7/28,星期二,1970,六月,廿六,庚戌,狗,癸未,己酉,钗钏金
1970/7/29,星期三,1970,六月,廿七,庚戌,狗,癸未,庚戌,钗钏金
1970/7/30,星期四,1970,六月,廿八,庚戌,狗,癸未,辛亥,钗钏金
1970/7/31,星期五,1970,六月,廿九,庚戌,狗,癸未,壬子,钗钏金
1970/8/1,星期六,1970,六月,三十,庚戌,狗,癸未,癸丑,钗钏金
1970/8/2,星期日,1970,七月,初一,庚戌,狗,癸未,甲寅,钗钏金
1970/8/3,星期一,1970,七月,初二,庚戌,狗,癸未,乙卯,钗钏金
1970/8/4,星期二,1970,七月,初三,庚戌,狗,癸未,丙辰,钗钏金
1970/8/5,星期三,1970,七月,初四,庚戌,狗,癸未,丁巳,钗钏金
1970/8/6,星期四,1970,七月,初五,庚戌,狗,癸未,戊午,钗钏金
1970/8/7,星期五,1970,七月,初六,庚戌,狗,癸未,己未,钗钏金
1970/8/8,星期六,1970,七月,初七,庚戌,狗,甲申,庚申,钗钏金
1970/8/9,星期日,1970,七月,初八,庚戌,狗,甲申,辛酉,钗钏金
1970/8/10,星期一,1970,七月,初九,庚戌,狗,甲申,壬戌,钗钏金
1970/8/11,星期二,1970,七月,初十 ,庚戌,狗,甲申,癸亥,钗钏金
1970/8/12,星期三,1970,七月,十一,庚戌,狗,甲申,甲子,钗钏金
1970/8/13,星期四,1970,七月,十二,庚戌,狗,甲申,乙丑,钗钏金
1970/8/14,星期五,1970,七月,十三,庚戌,狗,甲申,丙寅,钗钏金
1970/8/15,星期六,1970,七月,十四,庚戌,狗,甲申,丁卯,钗钏金
1970/8/16,星期日,1970,七月,十五,庚戌,狗,甲申,戊辰,钗钏金
1970/8/17,星期一,1970,七月,十六,庚戌,狗,甲申,己巳,钗钏金
1970/8/18,星期二,1970,七月,十七,庚戌,狗,甲申,庚午,钗钏金
1970/8/19,星期三,1970,七月,十八,庚戌,狗,甲申,辛未,钗钏金
1970/8/20,星期四,1970,七月,十九,庚戌,狗,甲申,壬申,钗钏金
1970/8/21,星期五,1970,七月,二十,庚戌,狗,甲申,癸酉,钗钏金
1970/8/22,星期六,1970,七月,廿一,庚戌,狗,甲申,甲戌,钗钏金
1970/8/23,星期日,1970,七月,廿二,庚戌,狗,甲申,乙亥,钗钏金
1970/8/24,星期一,1970,七月,廿三,庚戌,狗,甲申,丙子,钗钏金
1970/8/25,星期二,1970,七月,廿四,庚戌,狗,甲申,丁丑,钗钏金
1970/8/26,星期三,1970,七月,廿五,庚戌,狗,甲申,戊寅,钗钏金
1970/8/27,星期四,1970,七月,廿六,庚戌,狗,甲申,己卯,钗钏金
1970/8/28,星期五,1970,七月,廿七,庚戌,狗,甲申,庚辰,钗钏金
1970/8/29,星期六,1970,七月,廿八,庚戌,狗,甲申,辛巳,钗钏金
1970/8/30,星期日,1970,七月,廿九,庚戌,狗,甲申,壬午,钗钏金
1970/8/31,星期一,1970,七月,三十,庚戌,狗,甲申,癸未,钗钏金
1970/9/1,星期二,1970,八月,初一,庚戌,狗,甲申,甲申,钗钏金
1970/9/2,星期三,1970,八月,初二,庚戌,狗,甲申,乙酉,钗钏金
1970/9/3,星期四,1970,八月,初三,庚戌,狗,甲申,丙戌,钗钏金
1970/9/4,星期五,1970,八月,初四,庚戌,狗,甲申,丁亥,钗钏金
1970/9/5,星期六,1970,八月,初五,庚戌,狗,甲申,戊子,钗钏金
1970/9/6,星期日,1970,八月,初六,庚戌,狗,甲申,己丑,钗钏金
1970/9/7,星期一,1970,八月,初七,庚戌,狗,甲申,庚寅,钗钏金
1970/9/8,星期二,1970,八月,初八,庚戌,狗,乙酉,辛卯,钗钏金
1970/9/9,星期三,1970,八月,初九,庚戌,狗,乙酉,壬辰,钗钏金
1970/9/10,星期四,1970,八月,初十 ,庚戌,狗,乙酉,癸巳,钗钏金
1970/9/11,星期五,1970,八月,十一,庚戌,狗,乙酉,甲午,钗钏金
1970/9/12,星期六,1970,八月,十二,庚戌,狗,乙酉,乙未,钗钏金
1970/9/13,星期日,1970,八月,十三,庚戌,狗,乙酉,丙申,钗钏金
1970/9/14,星期一,1970,八月,十四,庚戌,狗,乙酉,丁酉,钗钏金
1970/9/15,星期二,1970,八月,十五,庚戌,狗,乙酉,戊戌,钗钏金
1970/9/16,星期三,1970,八月,十六,庚戌,狗,乙酉,己亥,钗钏金
1970/9/17,星期四,1970,八月,十七,庚戌,狗,乙酉,庚子,钗钏金
1970/9/18,星期五,1970,八月,十八,庚戌,狗,乙酉,辛丑,钗钏金
1970/9/19,星期六,1970,八月,十九,庚戌,狗,乙酉,壬寅,钗钏金
1970/9/20,星期日,1970,八月,二十,庚戌,狗,乙酉,癸卯,钗钏金
1970/9/21,星期一,1970,八月,廿一,庚戌,狗,乙酉,甲辰,钗钏金
1970/9/22,星期二,1970,八月,廿二,庚戌,狗,乙酉,乙巳,钗钏金
1970/9/23,星期三,1970,八月,廿三,庚戌,狗,乙酉,丙午,钗钏金
1970/9/24,星期四,1970,八月,廿四,庚戌,狗,乙酉,丁未,钗钏金
1970/9/25,星期五,1970,八月,廿五,庚戌,狗,乙酉,戊申,钗钏金
1970/9/26,星期六,1970,八月,廿六,庚戌,狗,乙酉,己酉,钗钏金
1970/9/27,星期日,1970,八月,廿七,庚戌,狗,乙酉,庚戌,钗钏金
1970/9/28,星期一,1970,八月,廿八,庚戌,狗,乙酉,辛亥,钗钏金
1970/9/29,星期二,1970,八月,廿九,庚戌,狗,乙酉,壬子,钗钏金
1970/9/30,星期三,1970,九月,初一,庚戌,狗,乙酉,癸丑,钗钏金
1970/10/1,星期四,1970,九月,初二,庚戌,狗,乙酉,甲寅,钗钏金
1970/10/2,星期五,1970,九月,初三,庚戌,狗,乙酉,乙卯,钗钏金
1970/10/3,星期六,1970,九月,初四,庚戌,狗,乙酉,丙辰,钗钏金
1970/10/4,星期日,1970,九月,初五,庚戌,狗,乙酉,丁巳,钗钏金
1970/10/5,星期一,1970,九月,初六,庚戌,狗,乙酉,戊午,钗钏金
1970/10/6,星期二,1970,九月,初七,庚戌,狗,乙酉,己未,钗钏金
1970/10/7,星期三,1970,九月,初八,庚戌,狗,乙酉,庚申,钗钏金
1970/10/8,星期四,1970,九月,初九,庚戌,狗,乙酉,辛酉,钗钏金
1970/10/9,星期五,1970,九月,初十 ,庚戌,狗,丙戌,壬戌,钗钏金
1970/10/10,星期六,1970,九月,十一,庚戌,狗,丙戌,癸亥,钗钏金
1970/10/11,星期日,1970,九月,十二,庚戌,狗,丙戌,甲子,钗钏金
1970/10/12,星期一,1970,九月,十三,庚戌,狗,丙戌,乙丑,钗钏金
1970/10/13,星期二,1970,九月,十四,庚戌,狗,丙戌,丙寅,钗钏金
1970/10/14,星期三,1970,九月,十五,庚戌,狗,丙戌,丁卯,钗钏金
1970/10/15,星期四,1970,九月,十六,庚戌,狗,丙戌,戊辰,钗钏金
1970/10/16,星期五,1970,九月,十七,庚戌,狗,丙戌,己巳,钗钏金
1970/10/17,星期六,1970,九月,十八,庚戌,狗,丙戌,庚午,钗钏金
1970/10/18,星期日,1970,九月,十九,庚戌,狗,丙戌,辛未,钗钏金
1970/10/19,星期一,1970,九月,二十,庚戌,狗,丙戌,壬申,钗钏金
1970/10/20,星期二,1970,九月,廿一,庚戌,狗,丙戌,癸酉,钗钏金
1970/10/21,星期三,1970,九月,廿二,庚戌,狗,丙戌,甲戌,钗钏金
1970/10/22,星期四,1970,九月,廿三,庚戌,狗,丙戌,乙亥,钗钏金
1970/10/23,星期五,1970,九月,廿四,庚戌,狗,丙戌,丙子,钗钏金
1970/10/24,星期六,1970,九月,廿五,庚戌,狗,丙戌,丁丑,钗钏金
1970/10/25,星期日,1970,九月,廿六,庚戌,狗,丙戌,戊寅,钗钏金
1970/10/26,星期一,1970,九月,廿七,庚戌,狗,丙戌,己卯,钗钏金
1970/10/27,星期二,1970,九月,廿八,庚戌,狗,丙戌,庚辰,钗钏金
1970/10/28,星期三,1970,九月,廿九,庚戌,狗,丙戌,辛巳,钗钏金
1970/10/29,星期四,1970,九月,三十,庚戌,狗,丙戌,壬午,钗钏金
1970/10/30,星期五,1970,十月,初一,庚戌,狗,丙戌,癸未,钗钏金
1970/10/31,星期六,1970,十月,初二,庚戌,狗,丙戌,甲申,钗钏金
1970/11/1,星期日,1970,十月,初三,庚戌,狗,丙戌,乙酉,钗钏金
1970/11/2,星期一,1970,十月,初四,庚戌,狗,丙戌,丙戌,钗钏金
1970/11/3,星期二,1970,十月,初五,庚戌,狗,丙戌,丁亥,钗钏金
1970/11/4,星期三,1970,十月,初六,庚戌,狗,丙戌,戊子,钗钏金
1970/11/5,星期四,1970,十月,初七,庚戌,狗,丙戌,己丑,钗钏金
1970/11/6,星期五,1970,十月,初八,庚戌,狗,丙戌,庚寅,钗钏金
1970/11/7,星期六,1970,十月,初九,庚戌,狗,丙戌,辛卯,钗钏金
1970/11/8,星期日,1970,十月,初十 ,庚戌,狗,丁亥,壬辰,钗钏金
1970/11/9,星期一,1970,十月,十一,庚戌,狗,丁亥,癸巳,钗钏金
1970/11/10,星期二,1970,十月,十二,庚戌,狗,丁亥,甲午,钗钏金
1970/11/11,星期三,1970,十月,十三,庚戌,狗,丁亥,乙未,钗钏金
1970/11/12,星期四,1970,十月,十四,庚戌,狗,丁亥,丙申,钗钏金
1970/11/13,星期五,1970,十月,十五,庚戌,狗,丁亥,丁酉,钗钏金
1970/11/14,星期六,1970,十月,十六,庚戌,狗,丁亥,戊戌,钗钏金
1970/11/15,星期日,1970,十月,十七,庚戌,狗,丁亥,己亥,钗钏金
